ID,Index,Time,Time1,Time2,State,Fatigue,Task,Resting_hr,HRRMean,HRRCV,Wrist_jerk_Mean,Wrist_jerk_CV,Wrist_ACC_Mean,Wrist_ACC_CV,Wrist_xposture_Mean,Wrist_xposture_CV,Wrist_yposture_Mean,Wrist_yposture_CV,Wrist_zposture_Mean,Wrist_zposture_CV,Hip_jerk_Mean,Hip_jerk_CV,Hip_ACC_Mean,Hip_ACC_CV,Hip_xposture_Mean,Hip_xposture_CV,Hip_yposture_Mean,Hip_yposture_CV,Hip_zposture_Mean,Hip_zposture_CV,Chest_jerk_Mean,Chest_jerk_CV,Chest_ACC_Mean,Chest_ACC_CV,Chest_xposture_Mean,Chest_xposture_CV,Chest_yposture_Mean,Chest_yposture_CV,Chest_zposture_Mean,Chest_zposture_CV,Ankle_jerk_Mean,Ankle_jerk_CV,Ankle_ACC_Mean,Ankle_ACC_CV,Ankle_xposture_Mean,Ankle_xposture_CV,Ankle_yposture_Mean,Ankle_yposture_CV,Ankle_zposture_Mean,Ankle_zposture_CV,HRRSD,Wrist_zposture_SD,Wrist_yposture_SD,Wrist_xposture_SD,Wrist_ACC_SD,Wrist_jerk_SD,Hip_zposture_SD,Hip_yposture_SD,Hip_xposture_SD,Hip_ACC_SD,Hip_jerk_SD,Chest_zposture_SD,Chest_yposture_SD,Chest_xposture_SD,Chest_ACC_SD,Chest_jerk_SD,Ankle_zposture_SD,Ankle_yposture_SD,Ankle_xposture_SD,Ankle_ACC_SD,Ankle_jerk_SD
1,1,180,10,20,0,0,MMH,60,0.433859028,0.116107334,11.49790332,1.006286374,10.28990445,0.33677446,28.40625266,0.423017974,29.05526288,0.683897311,36.7639687,0.657414366,22.60599268,0.90342947,4.294409253,0.582382365,-33.86763937,-0.431915188,51.62783395,0.281603771,6.523167118,1.167373346,12.19649851,0.902148282,5.407989423,0.584521329,-8.999139924,-1.39938386,62.61291392,0.321645502,19.62389396,0.664644714,45.75704808,1.123986427,5.661827692,0.702635848,-4.425708429,-2.040941106,64.79497131,0.128919496,-14.52900196,-0.357785273,0.050374215,24.16916117,19.87081615,19.87081615,3.465377015,11.57018344,7.614971425,14.53859273,14.53859273,2.500988217,20.42291999,13.04291739,20.13916213,20.13916213,3.161085165,11.00305018,5.198262933,8.353335045,8.353335045,3.978203102,51.43030098
1,1,180,20,30,0,0,MMH,60,0.428982358,0.134553769,10.78541371,0.970621697,9.764042791,0.37759037,28.74653452,0.416447368,32.02187684,0.661515653,34.14430998,0.674962247,21.73171112,0.90289445,4.333790793,0.616143837,-34.58307065,-0.464942798,51.06237527,0.313983572,6.714651981,1.077654501,11.62078738,0.898732511,5.464541898,0.616579927,-8.319922878,-1.505811958,62.01950906,0.349200013,20.48942968,0.688842029,43.82619564,1.125491948,5.616292344,0.681537954,-4.494322612,-2.066651159,64.83689291,0.125636756,-14.55277946,-0.386233729,0.057721193,23.04612019,21.18297277,21.18297277,3.68680853,10.46855656,7.23607493,16.03274698,16.03274698,2.670238488,19.62144136,14.11398031,21.65721337,21.65721337,3.369326845,10.44397942,5.620774278,8.145896894,8.145896894,3.827716393,49.3260303
1,1,180,30,40,0,0,MMH,60,0.41459883,0.132038323,9.737025091,1.041753521,9.445886139,0.411632774,28.17006688,0.430246735,34.17281805,0.666557129,32.89298316,0.721134269,20.96342696,0.963875902,3.808491992,0.576855287,-31.69456219,-0.370062741,54.38463821,0.221606452,6.628378284,0.994566238,11.11344481,0.953169286,4.736922334,0.566653069,-6.549834364,-1.774729555,66.56435385,0.246975493,17.59822325,0.567528163,42.08988991,1.173638291,5.572966381,0.683369103,-3.752361231,-2.413930087,64.80364381,0.121830127,-15.48361113,-0.299564793,0.054742934,23.72025737,22.77813549,22.77813549,3.888236314,10.14358017,6.592361254,12.05198672,12.05198672,2.196948741,20.20614207,9.987487313,16.43976411,16.43976411,2.684191578,10.59299425,4.638344763,7.895036155,7.895036155,3.808393037,49.39830646
1,1,180,40,50,0,0,MMH,60,0.426119291,0.104705587,11.09001586,1.000677987,9.142082855,0.449828355,28.98599286,0.411458973,35.55243779,0.703044305,29.32218289,0.793995729,20.92000403,0.894720912,4.060843379,0.599853968,-32.87079372,-0.419321515,53.05048741,0.26275327,5.928147144,1.276544784,11.13672847,0.907850411,5.169097052,0.587110313,-8.705559517,-1.553785418,63.85522612,0.298026336,18.78980091,0.621264606,43.09402583,1.135685965,5.596212991,0.670331668,-4.011968806,-2.263844246,64.70678759,0.118876489,-15.29116677,-0.314908649,0.04461707,23.28168798,24.99493892,24.99493892,4.112368092,11.09753475,7.567545315,13.93918904,13.93918904,2.435913014,18.71756508,11.67343826,19.03053907,19.03053907,3.034830188,10.11048352,4.815320669,7.692115723,7.692115723,3.751318789,48.94128031
1,1,180,50,60,0,0,MMH,60,0.42223617,0.11959079,10.25359908,0.979330186,10.29014427,0.352738328,30.13771445,0.385839038,28.516531,0.725561665,36.31818342,0.616890042,19.99806404,0.938002807,4.178874489,0.620117946,-34.00853229,-0.448088668,52.05548953,0.296676349,5.911572235,1.185935631,10.70107233,0.902303703,5.279203478,0.599517758,-8.067933054,-1.534840226,63.02193102,0.318158638,20.0220354,0.63436266,41.00654734,1.16687386,5.438927357,0.677993384,-3.706857687,-2.346713419,65.22315056,0.118589427,-15.1603752,-0.322212444,0.050495557,22.4043257,20.69050171,20.69050171,3.629728285,10.04165909,7.010744149,15.44363258,15.44363258,2.591395065,18.7582402,12.70123163,20.05097174,20.05097174,3.164976233,9.655617189,4.884861545,7.734776052,7.734776052,3.687556764,47.84946818
1,1,180,60,70,0,0,MMH,60,0.404445019,0.140384487,9.880886659,1.078649337,9.784010999,0.409411303,28.74888824,0.430949049,31.8575761,0.749466392,33.8658681,0.680676563,18.86140425,0.972638762,3.684312407,0.591975084,-31.52419818,-0.394339313,54.91234558,0.225199168,6.487084596,0.969172812,10.12222555,0.976436693,4.819589979,0.556400552,-6.653089961,-1.579130033,65.92459096,0.247904,18.73380322,0.62454344,38.95879155,1.212849226,5.347922158,0.674875333,-4.001429906,-2.183429118,65.59293436,0.113806509,-15.16756391,-0.311181216,0.056777807,23.0517027,23.87618262,23.87618262,4.005684692,10.65801184,6.28710602,12.36621454,12.36621454,2.181021147,18.34533288,11.70007391,16.3429698,16.3429698,2.681622525,9.883712442,4.719860981,7.464902875,7.464902875,3.609180747,47.25114018
1,1,180,70,80,0,0,MMH,60,0.396166837,0.173327965,9.457487634,1.081104001,10.1802191,0.390407053,27.45364465,0.377073808,29.71262089,0.795938977,37.70677876,0.623243018,18.38962269,1.012729102,3.539294865,0.593856589,-30.67491079,-0.346604318,55.40518851,0.194843754,6.945799521,1.059922632,10.18155204,1.002415063,4.653106029,0.515064819,-6.02597791,-1.833531492,67.06209442,0.21088925,17.75725409,0.571219894,38.78245119,1.24395734,5.293459805,0.692084131,-4.265575689,-2.115778154,65.84629934,0.117409423,-14.3185854,-0.397238015,0.068666792,23.50048659,23.64943308,23.64943308,3.974429338,10.22452772,7.36201011,10.79535492,10.79535492,2.101833576,18.62370607,10.1432968,14.1426748,14.1426748,2.396651215,10.20614113,5.687886442,7.730976012,7.730976012,3.663519529,48.24371482
1,1,180,80,90,0,0,MMH,60,0.447014599,0.09818701,10.61009255,1.046925015,9.878594666,0.346927561,28.28773115,0.43128568,32.02031374,0.626769047,35.66276298,0.582067568,20.47251153,0.901104318,4.09629662,0.612272611,-33.99840306,-0.427286471,52.10740398,0.281546105,6.4484174,1.06159062,10.64774679,0.892290716,5.35640685,0.569450289,-8.042500245,-1.549957048,62.73357005,0.307619973,20.76358539,0.600953264,43.20880828,1.132280757,5.522356259,0.67260759,-3.429867911,-2.548728032,65.20203588,0.112782534,-15.04357792,-0.315345657,0.043891027,20.75813772,20.06934153,20.06934153,3.427156754,11.1079713,6.845579426,14.67063663,14.67063663,2.508050227,18.44786854,12.47794441,19.29809912,19.29809912,3.050207429,9.500885607,4.743926963,7.353650829,7.353650829,3.714378734,48.92450215
1,1,180,90,100,0,0,MMH,60,0.444846601,0.092784875,10.58028863,1.026900201,10.18264371,0.34117362,26.59261208,0.401676626,30.9002763,0.690801459,38.99197173,0.50089468,20.34056036,0.906839164,3.755766629,0.589254369,-31.53507283,-0.380612462,54.36930426,0.224468967,6.712609341,1.007849334,11.08494973,0.902458273,4.820366812,0.547450668,-6.931543529,-1.668129095,66.04979698,0.242490394,18.07004098,0.570428634,43.75491564,1.128736969,5.597879008,0.663723784,-3.571555381,-2.355439811,64.9057328,0.109917938,-15.38897093,-0.295153314,0.041275036,19.5308712,21.34595595,21.34595595,3.474049416,10.86490052,6.765298854,12.20422156,12.20422156,2.213101895,18.44561675,10.30766879,16.01644129,16.01644129,2.638913031,10.00370459,4.542105769,7.134304314,7.134304314,3.715445438,49.38779086
1,1,180,100,110,0,0,MMH,60,0.451526266,0.094391627,10.54589975,1.179622459,9.155388809,0.405050947,24.96212957,0.431530275,37.21314209,0.576817181,34.10728097,0.624838313,19.12731628,0.965753982,4.096873446,0.666616909,-33.77445526,-0.444781903,52.06392364,0.310394312,5.909328837,1.254528392,10.29505508,0.962515515,5.177971111,0.624109985,-8.148050083,-1.625759245,63.43371871,0.333080583,18.87981774,0.572862556,40.9286568,1.195560663,5.509850305,0.64887169,-1.76639243,-5.64874128,64.80296485,0.105930301,-15.73251647,-0.262153753,0.042620299,21.3115359,21.46517972,21.46517972,3.708398907,12.4401802,7.413420804,16.16034576,16.16034576,2.731045113,18.47228186,10.81554065,21.12854001,21.12854001,3.231623472,9.909150242,4.124338237,6.864597572,6.864597572,3.575185879,48.93269206
