"wrist_acc_time","Time1","Time2","Time","rpe","State","Fatigue","ID","Index","subject","experimental_condition","bottle_mass","picking_rate","wrist_acc_length","wrist_acc_mean","wrist_acc_rms","wrist_acc_mad","wrist_acc_std","wrist_acc_min","wrist_acc_max","wrist_acc_med","wrist_acc_perc25","wrist_acc_perc75","wrist_jerk_mean","wrist_jerk_rms","wrist_jerk_mad","wrist_jerk_std","wrist_jerk_min","wrist_jerk_max","wrist_jerk_med","wrist_jerk_perc25","wrist_jerk_perc75","trunk_acc_mean","trunk_acc_rms","trunk_acc_mad","trunk_acc_std","trunk_acc_min","trunk_acc_max","trunk_acc_med","trunk_acc_perc25","trunk_acc_perc75","trunk_jerk_mean","trunk_jerk_rms","trunk_jerk_mad","trunk_jerk_std","trunk_jerk_min","trunk_jerk_max","trunk_jerk_med","trunk_jerk_perc25","trunk_jerk_perc75","upperarm_acc_mean","upperarm_acc_rms","upperarm_acc_mad","upperarm_acc_std","upperarm_acc_min","upperarm_acc_max","upperarm_acc_med","upperarm_acc_perc25","upperarm_acc_perc75","upperarm_jerk_mean","upperarm_jerk_rms","upperarm_jerk_mad","upperarm_jerk_std","upperarm_jerk_min","upperarm_jerk_max","upperarm_jerk_med","upperarm_jerk_perc25","upperarm_jerk_perc75","time_diff"
2021-09-18 17:14:19,27.45,27.85,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2448,1.021173871,1.053453321,0.182477831,0.258834293,0.284705632,2.180499881,1.012810054,0.874382118,1.128967817,5.196383176,6.958771337,3.54798364,4.629347515,0.081183669,29.95967725,4.16865861,1.496714543,7.371415693,0.995127825,0.996047079,0.02528445,0.042791857,0.777748856,1.264970143,0.993703485,0.982985823,1.008235655,1.437933618,2.085853746,1.064113934,1.511312733,0.022253438,12.10563648,0.967374868,0.408291521,1.890972257,1.020262458,1.030807223,0.091131021,0.147094817,0.170974695,1.752541196,1.004021485,0.967889781,1.061392566,3.634070192,5.444227651,2.581936696,4.054610576,0.046898818,47.57450677,2.740212031,0.981462269,4.929822246,0.0500000000000007
2021-09-18 17:16:43,29.85,30.25,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2387,1.021162671,1.052644247,0.185395312,0.25556618,0.358303588,2.065792959,1.013506191,0.868832353,1.143100554,5.271241042,6.914248782,3.447128337,4.475404851,0.118421133,34.23546852,4.059793791,1.885944179,7.377373148,0.994982955,0.996154014,0.029030334,0.048298203,0.686972847,1.276367369,0.993780141,0.980181957,1.011615429,1.56582491,2.117555873,1.029664634,1.425863709,0.040513155,12.3422261,1.208680845,0.551789873,2.11583401,1.017618793,1.026985327,0.087901902,0.138415603,0.344700691,1.916008164,1.006125623,0.963224682,1.065078427,3.41097562,4.465276262,2.086684223,2.882259384,0.073577652,23.71938639,2.893380911,1.370548329,4.54209549,0.149999999999999
2021-09-18 17:19:31,32.65,33.05,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2399,1.020670366,1.049904504,0.174068546,0.246082737,0.441789775,2.261330938,1.010658471,0.876659063,1.119687965,6.00980723,8.124235098,4.123451717,5.467895466,0.059067121,36.74929275,5.016349728,1.560616386,8.382788629,0.995113937,0.995834391,0.023652969,0.037881171,0.832895681,1.256884989,0.993446086,0.981192512,1.006930304,1.440279834,1.899215823,0.93993715,1.238246394,0.011726382,7.490071049,1.106642752,0.52467902,2.009201325,1.016187234,1.02544705,0.091335582,0.137524693,0.451027477,1.654577426,1.002481324,0.964976708,1.070136363,3.5953961,4.870406464,2.50069273,3.286105465,0.032352419,25.51368949,2.754834174,1.055325575,5.266644737,0.149999999999999
2021-09-18 17:21:51,34.983,36.25,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2372,1.029291048,1.056214111,0.170449635,0.237006051,0.426263535,2.03910718,1.00800644,0.900022229,1.14262681,5.778544195,7.494644892,3.739888435,4.773650602,0.065674176,33.62216794,4.707358347,2.120745121,8.362535524,0.995867922,0.996720086,0.026017216,0.041215628,0.797959479,1.270027533,0.994316493,0.981396909,1.012614545,1.597713691,2.127873024,1.029707525,1.405698391,0.016513124,10.15768771,1.209881972,0.643583879,2.10344807,1.020909973,1.031358023,0.097382476,0.146462426,0.43182053,1.718384598,1.00466638,0.960439513,1.074869035,3.841979722,4.975267238,2.494675814,3.161754598,0.023648805,17.12013121,2.984419831,1.485539569,5.527196727,0.017000000000003
2021-09-18 17:24:19,37.45,37.85,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2397,1.023746558,1.062068619,0.196463358,0.282782775,0.23375031,2.238530939,1.003290165,0.893957719,1.128829047,5.636117363,7.739138296,4.061360889,5.304732537,0.072361704,44.09656011,4.359887967,1.477650607,8.334772118,0.994512246,0.995524016,0.026448922,0.044880939,0.662743264,1.286989269,0.993454925,0.981577565,1.009996493,1.618177775,2.194710807,1.095007098,1.48296125,0.035811043,10.53496786,1.213396266,0.538870583,2.210845354,1.018987023,1.030933787,0.097134236,0.156525208,0.121668343,1.599854502,1.002637187,0.965580452,1.071418295,3.874811565,5.487552558,2.770563281,3.886563112,0.043257102,30.51645709,2.784539404,1.158959713,5.341214166,0.0499999999999972
2021-09-18 17:27:07,40.25,40.667,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2479,1.021642145,1.048633126,0.165862244,0.236434582,0.402405544,2.151957148,1.003458285,0.897360946,1.11545395,5.426101831,7.018975268,3.489877861,4.45325002,0.049138209,27.64352308,4.3840019,1.926925274,7.843864849,0.995716017,0.996478642,0.025451466,0.038986047,0.850285732,1.22647921,0.994175636,0.980567434,1.00950692,1.519328271,2.029089741,1.005302509,1.345205204,0.011202887,9.567967515,1.120491681,0.534913455,2.107055552,1.015707709,1.02520306,0.092168046,0.139237151,0.498047191,1.757641678,1.002841575,0.953686981,1.065879036,3.556877236,4.606191431,2.231272724,2.92729942,0.098474546,18.15100283,2.896867611,1.354020676,4.967200213,0.25
2021-09-18 17:29:27,42.583,42.983,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2392,1.021152025,1.052172596,0.182191708,0.253658458,0.22989001,2.176287008,1.003445206,0.868751178,1.128419109,6.211838328,8.555822978,4.054735161,5.884696658,0.110871239,62.44084053,4.999981872,2.142346227,8.204764699,0.994550778,0.99546595,0.026303,0.042684524,0.757921586,1.251966024,0.992470634,0.979208793,1.008079208,1.499665758,2.067433316,1.020882514,1.423422119,0.024884432,10.78693628,1.101150622,0.510079473,2.011943337,1.011453329,1.020560207,0.09199863,0.136062624,0.249098176,1.660401054,1.00127807,0.946947868,1.067633415,3.735764748,5.052212019,2.503503659,3.402021249,0.037639551,30.67888457,2.821694452,1.324896999,5.202448719,0.0829999999999984
2021-09-18 17:31:04,44.2,44.5,44.5,3,0,0,28,20,1,"Condition 2.5-15","2.5","15",2471,1.017544538,1.04580022,0.168812848,0.241505316,0.413850787,2.522098183,1.004715048,0.873459596,1.109208314,5.347465311,7.205636816,3.652070523,4.830658769,0.038082067,34.96199101,4.012659157,1.723442957,7.719682353,0.995603566,0.996465035,0.02491758,0.041434297,0.84078965,1.340113983,0.99361488,0.980652622,1.009086263,1.364542302,1.86045802,0.906840529,1.264901623,0.016453298,9.800201053,0.996370394,0.493536547,1.792012448,1.011014178,1.018690601,0.081408692,0.124848631,0.42844975,1.58523926,1.00428442,0.959870086,1.056023279,3.300491939,4.589876657,2.232702546,3.190272916,0.075402992,27.2203628,2.372713854,1.193745315,4.448107293,NA
2022-02-07 14:49:18,2.45,3.6,44,0,0,0,29,20,1,"Condition 2.5-10","2.5","10",4214,1.02569954,1.046101762,0.128392436,0.205619509,0.345960575,2.345293337,0.991619291,0.965939584,1.046047088,4.622936603,8.517031465,4.894623094,7.154049927,0.008156615,72.66951814,1.344545966,0.297261376,6.302138706,1.028864614,1.029847112,0.022430197,0.04497955,0.682145349,1.383723058,1.028230674,1.02041573,1.037043452,1.103630609,1.698249419,0.930407539,1.290909027,0.004927542,9.920968124,0.631546127,0.211032906,1.5108126,1.009317932,1.0162015,0.06928414,0.118093648,0.405271947,1.640126141,0.993249303,0.977360665,1.02690412,2.642852956,4.483914025,2.567826755,3.622696281,0.014677274,34.75498376,1.107159485,0.286468319,3.578737069,0.0499999999999998
2022-02-07 14:51:39,4.8,5.4,44,0,0,0,29,20,1,"Condition 2.5-10","2.5","10",3634,1.021353799,1.040362946,0.129790024,0.197995619,0.412159861,2.348516311,0.990904047,0.946196238,1.064537038,4.433054707,6.87189868,4.107071458,5.251533926,0.020271195,34.8755238,2.245770098,0.355112351,7.110881846,1.028466464,1.02913707,0.020449055,0.037151329,0.794729907,1.282004038,1.028930512,1.021124894,1.03825532,1.079589098,1.589870282,0.867429566,1.167283146,0.013634493,9.830682436,0.691013768,0.200548556,1.530886955,1.009534182,1.016617144,0.075393987,0.119812784,0.411464793,1.623657317,0.994554778,0.976916078,1.042932029,2.655940155,4.074244142,2.255676584,3.089996016,0.012547311,22.91856131,1.69653208,0.311419314,3.879001256,0.2
2022-02-07 14:54:04,7.217,7.8,44,0,0,0,29,20,1,"Condition 2.5-10","2.5","10",3549,1.03236537,1.062044002,0.153664454,0.249352611,0.369931092,2.587360842,0.995686335,0.944334648,1.074939626,5.060052056,8.107152876,4.705043865,6.335070041,0.009730053,41.45829148,2.288435027,0.64172943,7.577081739,1.02907131,1.029926734,0.025976254,0.041973957,0.855789666,1.30163442,1.028273383,1.014423271,1.041501331,1.365855425,1.857594386,0.947843958,1.259183364,0.015559391,10.13730355,0.978382085,0.431567353,1.89455832,1.019476001,1.029243897,0.088473878,0.141482594,0.417915313,1.819230601,1.000148057,0.975896783,1.054191065,3.238318801,4.789245268,2.60740973,3.528976005,0.036975731,25.5625248,2.027873224,0.71885555,4.534617603,0.283
2022-02-07 14:56:36,9.75,10.267,44,0,0,0,29,20,1,"Condition 2.5-10","2.5","10",3018,1.03421494,1.062649298,0.165810805,0.244218654,0.462128668,2.468711437,1.00112557,0.92217471,1.118246336,5.513627362,7.986564353,4.432889063,5.778943919,0.04132668,39.85511221,3.717822962,0.888289733,8.278983287,1.029308854,1.030461955,0.028546499,0.048743321,0.782850234,1.358993032,1.028466866,1.01543441,1.042913647,1.46222077,2.02882175,1.04147851,1.406657016,0.030789155,9.049372967,1.06043763,0.407745312,2.015089911,1.017239711,1.027503128,0.097506954,0.144889632,0.265896063,1.658971493,1.000777723,0.968816422,1.076633302,3.468123921,4.985096528,2.549376381,3.581557708,0.066742922,34.80470448,2.583343778,0.808780421,4.797771069,0.25
